name,mz,rt,W03.01,W30.01,W30.02
M106T642,105.9945579,641.749,913.814,458.4039408,1320.316938
M106T389,106.0279766,389.225,731.2006836,391.6762882,658.3451333
M106T691,106.0495176,691.2135,5282.036053,853.5267069,7324.094831
M106T1366,106.0647797,1366.255,8715.888062,9213.025809,13375.93092
M106T1325,106.0650188,1325.49,13971.836,14055.15551,21918.90279
M106T1346,106.0649987,1345.55,14165.2149,14742.24543,22384.73028
M106T65,106.0857407,65.474,6859.250538,9566.9178,6941.154643
M106T560,106.0855359,559.783,13530.6856,8210.6135,14773.72547
M106T489,106.1118508,488.847,11003.65846,10669.69926,26009.39913
M107T1315,106.9038959,1315.2,2832.271007,6119.361887,4796.176
M107T1345,106.9039418,1345.33,3042.622386,3112.699063,2339.215556
M107T70,107.0489662,70.185,8610.068087,10594.32275,6770.700409
M107T52,107.0483701,52.329,2186.9055,1699.544119,2335.192822
M107T1337,107.0702363,1337.41,22283.58232,49823.83292,18790.65875
M107T1359,107.0702556,1359.265,26042.47894,26714.58462,13621.35308
M107T1321,107.0703259,1321.105,19027.16415,21735.30667,37696.21667
M107T1299,107.0701816,1299.3,23996.89624,54797.80086,26248.48167
M107T1270,107.0701424,1269.65,13891.82693,14516.18824,21553.675
M107T61,107.0698789,61.238,26176.73429,121878.7158,92434.016
M107T181,107.0691708,181.404,39742.83485,42564.96375,41175.95396
M107T92,107.0702454,92.12,50164.29346,73444.93566,64734.15488
M107T158,107.0698474,158.489,44217.04009,43572.79724,46840.17838
M108T533_1,107.678207,532.667,714.5396839,429.1711204,558.495
M108T533_2,108.0115272,532.7105,120275.1295,40860.96414,151776.0695
M108T98,108.0555119,98.091,983876.5066,1063912.846,1508011.52
M108T189,108.0554787,188.803,113534.9089,117742.1578,138301.2047
M108T652,108.0554003,651.836,24221.37723,31764.70846,28231.08312
M108T1294,108.0787414,1293.585,12244.23063,13343.6261,18938.26087
M108T1355,108.0787785,1355.125,10608.30615,10834.30141,14185.248
M108T20,108.0804341,20.086,14464.7702,16941.04755,13822.55232
M108T1321,108.0803491,1321.015,10061.9915,10668.12129,17100.47368
M109T1299,108.9034628,1298.955,2595.010435,2100.973333,3129.4868
M109T1338,108.9016643,1337.81,2211.462,2317.390686,2141.9125
M109T1364,108.9025668,1363.835,4634.962927,3615.203451,2694.525
M109T1194,108.9035705,1194.27,1945.68661,1564.2,1629.928125
M109T533_1,108.994664,533.1645,2840.448,834.4555556,2760.748571
M109T533_2,109.0140025,533.465,3877.717,1005.748333,1950.262857
M109T727,109.0277384,727.257,1969.015636,1206.954346,2159.907097
M109T557,109.0267993,556.503,2088.777803,1824.891763,1088.888619
M109T56,109.064334,56.441,8296.235733,12796.41868,4052.851429
M109T336,109.075483,335.897,39658.944,3854.889,36792.04833
M110T533,110.0064826,532.7105,4665.694588,1848.116667,6313.5614
M110T388,110.0344708,388.193,12363.81457,2288.538353,6702.7212
M110T295,110.0347043,295.276,10365.44029,1532.377769,4216.573845
M110T733,110.0716366,732.682,3078085.225,112677.337,3708950.813
M110T950,110.071134,949.853,183949.5757,33105.9855,184598.6881
M110T417,110.0709437,417.206,158817.4195,65253.03784,226387.7559
M110T579,110.0711823,579.163,29671.58483,12727.69721,31795.55558
M110T806,110.0697899,805.726,1019714.208,35186.87681,454141.3874
M110T880,110.0711224,879.695,1046221.167,37019.79187,1151454.81
M110T455,110.0709893,454.669,77592.57358,32049.47843,97138.45228
M110T336,110.0785612,335.964,1056.8616,432.9879883,882.3816
M111T858,110.9837932,858.411,5490.373162,5495.827755,5951.908563
M111T1318,111.0418163,1317.835,3639.862569,11598.07793,3189.171429
M111T1358,111.0435481,1357.655,4356.369934,4926.867826,4188.394737
M111T1339,111.0419535,1339.03,6380.266211,6862.511148,5120.61
M111T1275,111.0437655,1275.38,4414.737183,3087.225333,4537.874
M111T147,111.0550837,147.306,5156546.246,4549298.067,5837263.999
M111T188,111.0551093,187.626,993405.3661,764886.8342,1031397.552
M111T239,111.0532992,238.534,522312.82,868169.3457,1264964.83
M111T729,111.0723447,729.2865,71012.39774,18054.74095,80221.5071
M111T579,111.0733865,579.0775,4827.302046,5174.422232,893.9178
M111T63,111.0910527,63.105,11822.90541,21358.81137,19750.05461
M112T696_1,111.7425296,696.163,3991.448384,1478.882059,4369.031733
M112T431,112.050317,431.181,22103.79225,13720.85221,20583.03174
M112T588,112.0499367,587.742,3374.4095,42313.80646,53907.36447
M112T459,112.0611561,458.824,35251.01112,16058.0895,39054.39916
M112T696_2,112.0875015,695.6355,851940.8933,656523.8416,972005.3372
M112T481,112.0865594,481.047,119322.2988,37692.55363,186659.1734
M112T503,112.0868562,503.088,463236.7655,269004.9814,618171.6774
M112T247,112.0864572,247.091,137703.269,23287.901,102934.1613
M113T541,112.999268,541.163,2147.497733,1604.187927,1888.6266
M113T463,113.0227273,462.58,6183.98562,2242.383994,6700.800168
M113T285,113.0343697,285.113,42559.94865,10322.9364,50686.77744
M113T146,113.0339951,146.387,1698.546563,4719.215455,1941.5921
M113T696,113.0898137,695.7655,44095.56648,37751.85067,50497.18331
M113T247,113.0899532,246.762,6927.595941,1347.54,4166.704444
M114T285,114.0373973,285.481,1700.092333,429.8492889,2086.632
M114T791,114.0548086,791.213,24736.07298,22832.87175,30854.90958
M114T804,114.0549873,804.044,34956.05288,33544.37939,41610.89953
M114T296,114.065804,296.46,23441.8257,10436.74456,18953.025
M114T72,114.0652441,71.74,72611.37703,3808.2165,3717.368412
M114T77,114.090394,77.1355,100885.5894,99087.0075,118555.4205
